Product,Name,Price (INR),Rating,Comment Heading,Comment
"Realme 6 (Comet Blue, 64 GB)",himanshu  sharma,12999.0,5,Just wow!,best phone under this price 👌👍👍
"Realme 6 (Comet Blue, 64 GB)",Manoj Banerjee,12999.0,5,Worth every penny,Really just awesome phone...Pr Google assistant not working properly
"Realme 6 (Comet Blue, 64 GB)",Renjith  Gopi,12999.0,5,Fabulous!,Good phone.value for money..
"Realme 6 (Comet Blue, 64 GB)",Ashi Jain,12999.0,5,Mind-blowing purchase,"You may miss such like a worthy mobile in just 13k, if you don't buy. Awesome product. Be hurry to purchase.This product is very good and very good quality thank you Flipkart thank you so muchI am use this device  very smuthly and very fast and fast charge..."
"Realme 6 (Comet Blue, 64 GB)",Flipkart Customer,12999.0,5,Highly recommended,",superb"
"Realme 6 (Comet Blue, 64 GB)",Sehvag Kushwaha ,12999.0,5,Must buy!,Good products
"Realme 6 (Comet Blue, 64 GB)",Mostafa .,12999.0,4,Worth the money,Nice
"Realme 6 (Comet Blue, 64 GB)",Rashid  ansari,12999.0,5,Mind-blowing purchase,"fabulous, fantastic"
"Realme 6 (Comet Blue, 64 GB)",Nitish Yadav,12999.0,5,Classy product,Pros:->>Helio G90T (Amazing Processor)->>Runs PUBG Smoothly ->>Brilliant Network Connectivity->>Build Quality: Fair Enough->>Headphone Jack->>Type C Port->>30 watt Fast Charging->>4300 mAh Battery->>Android 10->>Amazing Cameras....etc.Cons:->>A little bit of heating while Playing PUBG and even during day-to-day tasks.->>Hefty charger ( almost as heavy as the phone)->>Faster Battery Drain ( Due to IPS LCD instead of Amoled)->>Realme UI instead of Stock Android ( A con for me as ...
"Realme 6 (Comet Blue, 64 GB)",Anindya Bhattacharya,12999.0,4,Nice product,Device looks and feels good. Pros:Camera quality and detailing 4/5Sound quality 5/5Display 4/5 Battery and charging 5/5 Performance 5/5Gaming 5/5Cons:Feels a little on the heavier side though weight has been balanced wellFelt some heat during normal usage. Think will be fixed after software updates.Corning gorilla glass 3 protection which is a little outdated one nowWas not able to download WhatsApp from playstore (install option was not showing) Why I don't know. Later downloaded...
"Realme 6 (Comet Blue, 64 GB)",No Name,12999.0,No Rating,No Comment Heading,
"Realme 6 (Comet White, 64 GB)",himanshu  sharma,12999.0,5,Just wow!,best phone under this price 👌👍👍
"Realme 6 (Comet White, 64 GB)",Manoj Banerjee,12999.0,5,Worth every penny,Really just awesome phone...Pr Google assistant not working properly
"Realme 6 (Comet White, 64 GB)",Renjith  Gopi,12999.0,5,Fabulous!,Good phone.value for money..
"Realme 6 (Comet White, 64 GB)",Ashi Jain,12999.0,5,Mind-blowing purchase,"You may miss such like a worthy mobile in just 13k, if you don't buy. Awesome product. Be hurry to purchase.This product is very good and very good quality thank you Flipkart thank you so muchI am use this device  very smuthly and very fast and fast charge..."
"Realme 6 (Comet White, 64 GB)",Flipkart Customer,12999.0,5,Highly recommended,",superb"
"Realme 6 (Comet White, 64 GB)",Sehvag Kushwaha ,12999.0,5,Must buy!,Good products
"Realme 6 (Comet White, 64 GB)",Mostafa .,12999.0,4,Worth the money,Nice
"Realme 6 (Comet White, 64 GB)",Rashid  ansari,12999.0,5,Mind-blowing purchase,"fabulous, fantastic"
"Realme 6 (Comet White, 64 GB)",Nitish Yadav,12999.0,5,Classy product,Pros:->>Helio G90T (Amazing Processor)->>Runs PUBG Smoothly ->>Brilliant Network Connectivity->>Build Quality: Fair Enough->>Headphone Jack->>Type C Port->>30 watt Fast Charging->>4300 mAh Battery->>Android 10->>Amazing Cameras....etc.Cons:->>A little bit of heating while Playing PUBG and even during day-to-day tasks.->>Hefty charger ( almost as heavy as the phone)->>Faster Battery Drain ( Due to IPS LCD instead of Amoled)->>Realme UI instead of Stock Android ( A con for me as ...
